tag3	tag1	name	autonym	source
cte		Tepinapa Chinantec	Jujmi	iso639-3, ethnologue
ctg		Chittagonian	চাঁটগাঁইয়া বুলি‎ (Caṭgãia Buli)	iso639-3, ethnologue
cth		Thaiphum Chin	Thaiphum	iso639-3, ethnologue
ctl		Tlacoatzintepec Chinantec	Jau jmai	iso639-3, ethnologue
ctm		Chitimacha		iso639-3
ctn		Chhintange		iso639-3
cto		Emberá-Catío		iso639-3
ctp		Western Highland Chatino	Cha’ jna’a	iso639-3, ethnologue
cts		Northern Catanduanes Bikol		iso639-3
ctt		Wayanad Chetti		iso639-3
ctu		Chol	Lakty’añ	iso639-3, ethnologue
ctz		Zacatepec Chatino	Cha’ jna’a	iso639-3, ethnologue
cua		Cua		iso639-3
cub		Cubeo	Pamié	iso639-3, ethnologue
cuc		Usila Chinantec	Jaú jm_, Jmiih kia’ dzä jii’	iso639-3, ethnologue
cug		Chungmboko	Chungmboko	iso639-3, ethnologue
cuh		Chuka		iso639-3
cui		Cuiba		iso639-3
cuj		Mashco Piro		iso639-3
cuk		San Blas Kuna		iso639-3
cul		Culina	Madiha	iso639-3, ethnologue
cuo		Cumanagoto		iso639-3
cup		Cupeño		iso639-3
cuq		Cun		iso639-3
cur		Chhulung		iso639-3
cut		Teutila Cuicatec	Dubaku	iso639-3, ethnologue
cuu		Tai Ya		iso639-3
cuv		Cuvok		iso639-3
cuw		Chukwa		iso639-3
cux		Tepeuxila Cuicatec	Dibaku	iso639-3, ethnologue
cvg		Chug		iso639-3
cvn		Valle Nacional Chinantec		iso639-3
cwa		Kabwa		iso639-3
cwb		Maindo		iso639-3
cwd		Woods Cree		iso639-3
cwe		Kwere	Nghwele	iso639-3, ethnologue
cwg		Chewong		iso639-3
cwt		Kuwaataay		iso639-3
cya		Nopala Chatino	Cha’ jna’a	iso639-3, ethnologue
cyb		Cayubaba		iso639-3
cyo		Cuyonon		iso639-3
czh		Huizhou Chinese		iso639-3
czk		Knaanic		iso639-3
czn		Zenzontepec Chatino	Cha’ jna’a	iso639-3, ethnologue
czo		Min Zhong Chinese		iso639-3
czt		Zotung Chin	Zotung, Zotung Chin	iso639-3, ethnologue
daa		Dangaléat		iso639-3
dac		Dambi		iso639-3
dad		Marik		iso639-3
dae		Duupa		iso639-3
dag		Dagbani	Dagbanli	iso639-3, ethnologue
dah		Gwahatike		iso639-3
dai		Day		iso639-3
daj		Dar Fur Daju	Bekke	iso639-3, ethnologue
dak		Dakota		cldr
dal		Dahalo		iso639-3
dam		Damakawa		iso639-3
dao		Daai Chin	Daai Chin, Dai	iso639-3, ethnologue
daq		Dandami Maria		iso639-3
dar		Dargwa		cldr
das		Daho-Doo		iso639-3
dau		Dar Sila Daju		iso639-3
dav		Taita	Kitaita	cldr
daw		Davawenyo		iso639-3
dax		Dayi		iso639-3
daz		Dao		iso639-3
dba		Bangime		iso639-3
dbb		Deno		iso639-3
dbd		Dadiya		iso639-3
dbe		Dabe		iso639-3
dbf		Edopi		iso639-3
dbg		Dogul Dom Dogon		iso639-3
dbi		Doka		iso639-3
dbj		Ida'an		iso639-3
dbl		Dyirbal		iso639-3
dbm		Duguri		iso639-3
dbn		Duriankere		iso639-3
dbo		Dulbu		iso639-3
dbp		Duwai		iso639-3
dbq		Daba		iso639-3
dbr		Dabarre		iso639-3
dbt		Ben Tey Dogon		iso639-3
dbu		Bondum Dom Dogon		iso639-3
dbv		Dungu		iso639-3
dbw		Bankan Tey Dogon		iso639-3
dby		Dibiyaso		iso639-3
dcc		Deccan		iso639-3
dcr		Negerhollands		iso639-3
dda		Dadi Dadi		iso639-3
ddd		Dongotono		iso639-3
dde		Doondo		iso639-3
ddg		Fataluku		iso639-3
ddi		West Goodenough		iso639-3
ddj		Jaru		iso639-3
ddn		Dendi (Benin)	Songhay	iso639-3, ethnologue
ddo		Dido		iso639-3
ddr		Dhudhuroa		iso639-3
dds		Donno So Dogon		iso639-3
ddw		Dawera-Daweloor		iso639-3
dec		Dagik	Tharuwa	iso639-3, ethnologue
ded		Dedua		iso639-3
dee		Dewoin		iso639-3
def		Dezfuli		iso639-3
deg		Degema		iso639-3
deh		Dehwari		iso639-3
dei		Demisa		iso639-3
dek		Dek		iso639-3
del		Delaware		cldr
dem		Dem		iso639-3
den		Slave		cldr
dep		Pidgin Delaware		iso639-3
deq		Dendi (Central African Republic)		iso639-3
der		Deori		iso639-3
des		Desano		iso639-3
dev		Domung		iso639-3
dez		Dengese		iso639-3
dga		Southern Dagaare		iso639-3
dgb		Bunoge Dogon		iso639-3
dgc		Casiguran Dumagat Agta		iso639-3
dgd		Dagaari Dioula		iso639-3
dge		Degenan		iso639-3
dgg		Doga		iso639-3
dgh		Dghwede		iso639-3
dgi		Northern Dagara		iso639-3
dgk		Dagba		iso639-3
dgl		Andaandi	Andaandi	iso639-3, ethnologue
dgn		Dagoman		iso639-3
dgo		Dogri (individual language)		iso639-3
dgr		Dogrib	Tlicho	cldr, ethnologue
dgs		Dogoso		iso639-3
dgt		Ndra'ngith		iso639-3
dgu		Degaru		iso639-3
dgw		Daungwurrung		iso639-3
dgx		Doghoro		iso639-3
dgz		Daga		iso639-3
dhd		Dhundari		iso639-3
dhg		Dhangu-Djangu	Dhangu-Djangu, Yolngu-Matha	iso639-3, ethnologue
dhi		Dhimal		iso639-3
dhl		Dhalandji		iso639-3
dhm		Zemba		iso639-3
dhn		Dhanki		iso639-3
dho		Dhodia		iso639-3
dhr		Dhargari		iso639-3
dhs		Dhaiso		iso639-3
dhu		Dhurga		iso639-3
dhv		Dehu		iso639-3
dhw		Dhanwar (Nepal)		iso639-3
dhx		Dhungaloo		iso639-3
dia		Dia		iso639-3
dib		South Central Dinka		iso639-3
dic		Lakota Dida		iso639-3
did		Didinga		iso639-3
dif		Dieri		iso639-3
dig		Digo		iso639-3
dih		Kumiai		iso639-3
dii		Dimbong		iso639-3
dij		Dai		iso639-3
dik		Southwestern Dinka		iso639-3
dil		Dilling		iso639-3
dim		Dime		iso639-3
din		Dinka		cldr
dio		Dibo		iso639-3
dip		Northeastern Dinka		iso639-3
diq		Dimli (individual language)		iso639-3
dir		Dirim		iso639-3
dis		Dimasa	Grau Dima, Magrau	iso639-3, ethnologue
dit		Dirari		iso639-3
diu		Diriku		iso639-3
diw		Northwestern Dinka		iso639-3
dix		Dixon Reef		iso639-3
diy		Diuwe		iso639-3
diz		Ding		iso639-3
dja		Djadjawurrung		iso639-3
djb		Djinba		iso639-3
djc		Dar Daju Daju	Saaronge	iso639-3, ethnologue
djd		Djamindjung		iso639-3
dje		Zarma	Zarmaciine	cldr
djf		Djangun		iso639-3
dji		Djinang		iso639-3
djj		Djeebbana		iso639-3
djk		Eastern Maroon Creole		iso639-3
djm		Jamsay Dogon		iso639-3
djn		Djauan		iso639-3
djo		Jangkang		iso639-3
djr		Djambarrpuyngu		iso639-3
dju		Kapriman		iso639-3
djw		Djawi		iso639-3
dka		Dakpakha		iso639-3
dkk		Dakka		iso639-3
dkr		Kuijau		iso639-3
dks		Southeastern Dinka		iso639-3
dkx		Mazagway		iso639-3
dlg		Dolgan		iso639-3
dlk		Dahalik		iso639-3
dlm		Dalmatian		iso639-3
dln		Darlong		iso639-3
dma		Duma		iso639-3
dmb		Mombo Dogon		iso639-3
dmc		Gavak		iso639-3
dmd		Madhi Madhi		iso639-3
dme		Dugwor		iso639-3
dmg		Upper Kinabatangan		iso639-3
dmk		Domaaki		iso639-3
dml		Dameli		iso639-3
dmm		Dama		iso639-3
dmo		Kemedzung		iso639-3
dmr		East Damar		iso639-3
dms		Dampelas		iso639-3
dmu		Dubu		iso639-3
dmv		Dumpas		iso639-3
dmw		Mudburra		iso639-3
dmx		Dema		iso639-3
dmy		Demta		iso639-3
dna		Upper Grand Valley Dani		iso639-3
dnd		Daonda		iso639-3
dne		Ndendeule		iso639-3
dng		Dungan		iso639-3
dni		Lower Grand Valley Dani		iso639-3
dnj		Dan	Dan	iso639-3, ethnologue
dnk		Dengka		iso639-3
dnn		Dzùùngoo		iso639-3
dnr		Danaru		iso639-3
dnt		Mid Grand Valley Dani		iso639-3
dnu		Danau		iso639-3
dnv		Danu		iso639-3
dnw		Western Dani		iso639-3
dny		Dení	Madiha	iso639-3, ethnologue
doa		Dom		iso639-3
dob		Dobu		iso639-3
doc		Northern Dong		iso639-3
doe		Doe		iso639-3
dof		Domu		iso639-3
doh		Dong		iso639-3
doi		Dogri		cldr
dok		Dondo		iso639-3
dol		Doso		iso639-3
don		Toura (Papua New Guinea)		iso639-3
doo		Dongo		iso639-3
dop		Lukpa		iso639-3
doq		Dominican Sign Language		iso639-3
dor		Dori'o		iso639-3
dos		Dogosé		iso639-3
dot		Dass		iso639-3
dov		Dombe		iso639-3
dow		Doyayo		iso639-3
dox		Bussa		iso639-3
doy		Dompo		iso639-3
doz		Dorze		iso639-3
dpp		Papar		iso639-3
drb		Dair		iso639-3
drc		Minderico	Minderico, Piação dos Charales do Ninhou	iso639-3, ethnologue
drd		Darmiya		iso639-3
dre		Dolpo		iso639-3
drg		Rungus	Momogun	iso639-3, ethnologue
dri		C'Lela	Lela	iso639-3, ethnologue
drl		Paakantyi		iso639-3
drn		West Damar		iso639-3
dro		Daro-Matu Melanau		iso639-3
drq		Dura		iso639-3
drr		Dororo		iso639-3
drs		Gedeo		iso639-3
drt		Drents		iso639-3
dru		Rukai		iso639-3
dry		Darai		iso639-3
dsb		Lower Sorbian	dolnoserbšćina	cldr
dse		Dutch Sign Language		iso639-3
dsh		Daasanach		iso639-3
dsi		Disa		iso639-3
dsl		Danish Sign Language		iso639-3
dsn		Dusner		iso639-3
dso		Desiya		iso639-3
dsq		Tadaksahak	Idaksahak	iso639-3, ethnologue
dta		Daur		iso639-3
dtb		Labuk-Kinabatangan Kadazan	Sungai, Sungai Kinabatangan	iso639-3, ethnologue
dtd		Ditidaht		iso639-3
dth		Adithinngithigh		iso639-3
dti		Ana Tinga Dogon		iso639-3
dtk		Tene Kan Dogon		iso639-3
dtm		Tomo Kan Dogon		iso639-3
dtn		Daatsʼíin		iso639-3
dto		Tommo So Dogon		iso639-3
dtp		Central Dusun	Kadazan Dusun	cldr, ethnologue
dtr		Lotud		iso639-3
dts		Toro So Dogon		iso639-3
dtt		Toro Tegu Dogon		iso639-3
dtu		Tebul Ure Dogon		iso639-3
dty		Dotyali		iso639-3
dua		Duala	duálá	cldr
dub		Dubli		iso639-3
duc		Duna		iso639-3
dud		Hun-Saare		iso639-3
due		Umiray Dumaget Agta		iso639-3
duf		Dumbea		iso639-3
dug		Duruma		iso639-3
duh		Dungra Bhil		iso639-3
dui		Dumun		iso639-3
duk		Uyajitaya		iso639-3
dul		Alabat Island Agta		iso639-3
dum		Middle Dutch		cldr
dun		Dusun Deyah		iso639-3
duo		Dupaninan Agta		iso639-3
dup		Duano		iso639-3
duq		Dusun Malang		iso639-3
dur		Dii		iso639-3
dus		Dumi		iso639-3
duu		Drung		iso639-3
duv		Duvle		iso639-3
duw		Dusun Witu		iso639-3
dux		Duungooma		iso639-3
duy		Dicamay Agta		iso639-3
duz		Duli-Gey		iso639-3
dva		Duau		iso639-3
dwa		Diri		iso639-3
dwr		Dawro		iso639-3
dws		Dutton World Speedwords		iso639-3
dwu		Dhuwal		iso639-3
dww		Dawawa		iso639-3
dwy		Dhuwaya		iso639-3
dya		Dyan		iso639-3
dyb		Dyaberdyaber		iso639-3
dyd		Dyugun		iso639-3
dyg		Villa Viciosa Agta		iso639-3
dyi		Djimini Senoufo		iso639-3
dym		Yanda Dom Dogon		iso639-3
dyn		Dyangadi		iso639-3
dyo		Jola-Fonyi	joola	cldr
dyu		Dyula	Julakan	cldr, ethnologue
dyy		Dyaabugay		iso639-3
dza		Tunzu		iso639-3
dze		Djiwarli		iso639-3
dzg		Dazaga	Dazaga	cldr, ethnologue
dzl		Dzalakha		iso639-3
dzn		Dzando		iso639-3
eaa		Karenggapa		iso639-3
ebg		Ebughu		iso639-3
ebk		Eastern Bontok		iso639-3
ebo		Teke-Ebo		iso639-3
ebr		Ebrié		iso639-3
ebu		Embu	Kĩembu	cldr
ecr		Eteocretan		iso639-3
ecs		Ecuadorian Sign Language		iso639-3
ecy		Eteocypriot		iso639-3
eee		E		iso639-3
efa		Efai		iso639-3
efe		Efe		iso639-3
efi		Efik	Efik	cldr, ethnologue
ega		Ega		iso639-3
egl		Emilian	Emigliân	cldr, ethnologue
ego		Eggon		iso639-3
egy		Ancient Egyptian		cldr
ehu		Ehueun		iso639-3
eip		Eipomek	Lik	iso639-3, ethnologue
eit		Eitiep		iso639-3
eiv		Askopan		iso639-3
eja		Ejamat		iso639-3
eka		Ekajuk		cldr
ekc		Eastern Karnic		iso639-3
eke		Ekit		iso639-3
ekg		Ekari	Me	iso639-3, ethnologue
eki		Eki		iso639-3
ekk		Standard Estonian	Eesti Kirjakeel	iso639-3, ethnologue
ekl		Kol (Bangladesh)		iso639-3
ekm		Elip	Nulibié	iso639-3, ethnologue
eko		Koti		iso639-3
ekp		Ekpeye		iso639-3
ekr		Yace		iso639-3
eky		Eastern Kayah		iso639-3
ele		Elepi		iso639-3
elh		El Hugeirat		iso639-3
eli		Nding		iso639-3
elk		Elkei		iso639-3
elm		Eleme		iso639-3
elo		El Molo		iso639-3
elu		Elu		iso639-3
elx		Elamite		cldr
ema		Emai-Iuleha-Ora		iso639-3
emb		Embaloh		iso639-3
eme		Emerillon		iso639-3
emg		Eastern Meohang		iso639-3
emi		Mussau-Emira	Mussau	iso639-3, ethnologue
emk		Eastern Maninkakan	Maninka	iso639-3, ethnologue
emm		Mamulique		iso639-3
emn		Eman		iso639-3
emp		Northern Emberá	Embera	iso639-3, ethnologue
ems		Pacific Gulf Yupik	Aleut	iso639-3, ethnologue
emu		Eastern Muria		iso639-3
emw		Emplawas		iso639-3
emx		Erromintxela		iso639-3
emy		Epigraphic Mayan		iso639-3
ena		Apali		iso639-3
enb		Markweeta		iso639-3
enc		En		iso639-3
end		Ende		iso639-3
enf		Forest Enets		iso639-3
enh		Tundra Enets		iso639-3
enl		Enlhet		iso639-3
enm		Middle English		cldr
enn		Engenni		iso639-3
eno		Enggano		iso639-3
enq		Enga		iso639-3
enr		Emumu		iso639-3
enu		Enu		iso639-3
env		Enwan (Edu State)		iso639-3
enw		Enwan (Akwa Ibom State)		iso639-3
enx		Enxet		iso639-3
eot		Beti (Côte d'Ivoire)		iso639-3
epi		Epie		iso639-3
era		Eravallan		iso639-3
erg		Sie		iso639-3
erh		Eruwa		iso639-3
eri		Ogea		iso639-3
erk		South Efate		iso639-3
ero		Horpa		iso639-3
err		Erre		iso639-3
ers		Ersu		iso639-3
ert		Eritai		iso639-3
erw		Erokwanas		iso639-3
ese		Ese Ejja		iso639-3
esg		Aheri Gondi		iso639-3
esh		Eshtehardi		iso639-3
esi		North Alaskan Inupiatun		iso639-3
esk		Northwest Alaska Inupiatun		iso639-3
esl		Egypt Sign Language		iso639-3
esm		Esuma		iso639-3
esn		Salvadoran Sign Language		iso639-3
eso		Estonian Sign Language		iso639-3
esq		Esselen		iso639-3
ess		Central Siberian Yupik		iso639-3
esu		Central Alaskan Yupik		cldr, github
esy		Eskayan		iso639-3
etb		Etebi		iso639-3
etc		Etchemin		iso639-3
eth		Ethiopian Sign Language		iso639-3
etn		Eton (Vanuatu)		iso639-3
eto		Eton (Cameroon)		iso639-3
etr		Edolo	Edolo	iso639-3, ethnologue
ets		Yekhee		iso639-3
ett		Etruscan		iso639-3
etu		Ejagham		iso639-3
etx		Eten	Iten	iso639-3, ethnologue
etz		Semimi		iso639-3
eve		Even		iso639-3
evh		Uvbie		iso639-3
evn		Evenki		iso639-3
ewo		Ewondo	ewondo	cldr
ext		Extremaduran	Barranquênhu	cldr, ethnologue
eya		Eyak		iso639-3
eyo		Keiyo		iso639-3
eza		Ezaa	Ezaa	iso639-3, ethnologue
eze		Uzekwe		iso639-3
faa		Fasu		iso639-3
fab		Fa d'Ambu	Fa d’Ambu	iso639-3, ethnologue
fad		Wagi		iso639-3
faf		Fagani		iso639-3
fag		Finongan		iso639-3
fah		Baissa Fali		iso639-3
fai		Faiwol		iso639-3
faj		Faita		iso639-3
fak		Fang (Cameroon)	Benjube Fenga	iso639-3, ethnologue
fal		South Fali		iso639-3
fam		Fam		iso639-3
fan		Fang	Fang	cldr, ethnologue
fap		Palor	Paloor	iso639-3, ethnologue
far		Fataleka		iso639-3
fat		Fanti		cldr
fau		Fayu		iso639-3
fax		Fala	Fala, Nosa Fala	iso639-3, ethnologue
fay		Southwestern Fars		iso639-3
faz		Northwestern Fars		iso639-3
fbl		West Albay Bikol	Bikol	iso639-3, ethnologue
fcs		Quebec Sign Language		iso639-3
fer		Feroge		iso639-3
ffi		Foia Foia	Foia Foia	iso639-3, ethnologue
ffm		Maasina Fulfulde		iso639-3
fgr		Fongoro		iso639-3
fia		Nobiin		iso639-3
fie		Fyer		iso639-3
fil		Filipino	Filipino	cldr
fip		Fipa	Ichifipa	iso639-3, ethnologue
fir		Firan		iso639-3
fit		Tornedalen Finnish		cldr
fiw		Fiwaga		iso639-3
fkk		Kirya-Konzəl	Karya, Konzal	iso639-3, ethnologue
fkv		Kven Finnish		iso639-3
fla		Kalispel-Pend d'Oreille		iso639-3
flh		Foau		iso639-3
fli		Fali		iso639-3
fll		North Fali		iso639-3
fln		Flinders Island		iso639-3
flr		Fuliiru		iso639-3
fly		Flaaitaal		iso639-3
fmp		Fe'fe'		iso639-3
fmu		Far Western Muria		iso639-3
fnb		Fanbak		iso639-3
fng		Fanagalo		iso639-3
fni		Fania		iso639-3
fod		Foodo		iso639-3
foi		Foi		iso639-3
fom		Foma		iso639-3
fon		Fon	Fongbe	cldr, ethnologue
for		Fore		iso639-3
fos		Siraya		iso639-3
fpe		Fernando Po Creole English		iso639-3
fqs		Fas		iso639-3
frc		Cajun French		cldr
frd		Fordata		iso639-3
frk		Frankish		iso639-3
frm		Middle French		cldr
fro		Old French		cldr
frp		Arpitan		cldr
frq		Forak		iso639-3
frr		Northern Frisian		cldr
frs		Eastern Frisian		cldr
frt		Fortsenal		iso639-3
fse		Finnish Sign Language		iso639-3
fsl		French Sign Language		iso639-3
fss		Finland-Swedish Sign Language		iso639-3
fub		Adamawa Fulfulde	Fulfulde	iso639-3, ethnologue
fuc		Pulaar		iso639-3
fud		East Futuna		iso639-3
fue		Borgu Fulfulde		iso639-3
fuf		Pular	Pular	iso639-3, ethnologue
fuh		Western Niger Fulfulde	Fulfulde	iso639-3, ethnologue
fui		Bagirmi Fulfulde		iso639-3
fuj		Ko		iso639-3
fum		Fum		iso639-3
fun		Fulniô		iso639-3
fuq		Central-Eastern Niger Fulfulde		iso639-3
fur		Friulian	furlan	cldr
fut		Futuna-Aniwa		iso639-3
fuu		Furu		iso639-3
fuv		Nigerian Fulfulde	Fulfulde	iso639-3, ethnologue
fuy		Fuyug		iso639-3
fvr		Fur		iso639-3
fwa		Fwâi		iso639-3
fwe		Fwe		iso639-3
gaa		Ga	Ga	cldr, ethnologue
gab		Gabri		iso639-3
gac		Mixed Great Andamanese		iso639-3
gad		Gaddang		iso639-3
gae		Guarequena		iso639-3
gaf		Gende		iso639-3
gag		Gagauz		cldr
gah		Alekano		iso639-3
gai		Borei	Mborena Kam	iso639-3, ethnologue
gaj		Gadsup		iso639-3
gak		Gamkonora		iso639-3
gal		Galolen		iso639-3
gam		Kandawo		iso639-3
gan		Gan Chinese		cldr
gao		Gants		iso639-3
gap		Gal		iso639-3
gaq		Gata'		iso639-3
gar		Galeya		iso639-3
gas		Adiwasi Garasia		iso639-3
gat		Kenati		iso639-3
gau		Mudhili Gadaba		iso639-3
gaw		Nobonob		iso639-3
gax		Borana-Arsi-Guji Oromo		iso639-3
gay		Gayo		cldr
gaz		West Central Oromo	Afaan Oromoo, Oromiffa	iso639-3, ethnologue
gba		Gbaya		cldr
gbb		Kaytetye		iso639-3
gbd		Karadjeri		iso639-3
gbe		Niksek		iso639-3
gbf		Gaikundi		iso639-3
gbg		Gbanziri		iso639-3
gbh		Defi Gbe		iso639-3
gbi		Galela		iso639-3
gbj		Bodo Gadaba		iso639-3
gbk		Gaddi		iso639-3
gbl		Gamit		iso639-3
gbm		Garhwali		iso639-3
gbn		Mo'da		iso639-3
gbo		Northern Grebo		iso639-3
gbp		Gbaya-Bossangoa		iso639-3
gbq		Gbaya-Bozoum		iso639-3
gbr		Gbagyi		iso639-3
gbs		Gbesi Gbe		iso639-3
gbu		Gagadu		iso639-3
gbv		Gbanu		iso639-3
gbw		Gabi-Gabi		iso639-3
gbx		Eastern Xwla Gbe		iso639-3
gby		Gbari		iso639-3
gbz		Zoroastrian Dari		cldr
gcc		Mali		iso639-3
gcd		Ganggalida		iso639-3
gce		Galice		iso639-3
gcf		Guadeloupean Creole French		iso639-3
gcl		Grenadian Creole English		iso639-3
gcn		Gaina		iso639-3
gcr		Guianese Creole French		iso639-3
gct		Colonia Tovar German		iso639-3
gda		Gade Lohar		iso639-3
gdb		Pottangi Ollar Gadaba		iso639-3
gdc		Gugu Badhun		iso639-3
gdd		Gedaged		iso639-3
gde		Gude		iso639-3
gdf		Guduf-Gava		iso639-3
gdg		Ga'dang		iso639-3
gdh		Gadjerawang		iso639-3
gdi		Gundi		iso639-3
gdj		Gurdjar		iso639-3
gdk		Gadang		iso639-3
gdl		Dirasha		iso639-3
gdm		Laal		iso639-3
gdn		Umanakaina	Umanakaina	iso639-3, ethnologue
gdo		Ghodoberi		iso639-3
gdq		Mehri		iso639-3
gdr		Wipi		iso639-3
gds		Ghandruk Sign Language		iso639-3
gdt		Kungardutyi		iso639-3
gdu		Gudu		iso639-3
gdx		Godwari		iso639-3
gea		Geruma		iso639-3
geb		Kire		iso639-3
gec		Gboloo Grebo		iso639-3
ged		Gade		iso639-3
geg		Gengle		iso639-3
geh		Hutterite German	Hutterisch	iso639-3, ethnologue
gei		Gebe		iso639-3
gej		Gen	Gen-Gbe	iso639-3, ethnologue
gek		Ywom		iso639-3
gel		ut-Ma'in	ut-Ma’in	iso639-3, ethnologue
geq		Geme		iso639-3
ges		Geser-Gorom		iso639-3
gev		Eviya		iso639-3
gew		Gera		iso639-3
gex		Garre		iso639-3
gey		Enya		iso639-3
gez		Geez	ግዕዝኛ	cldr
gfk		Patpatar		iso639-3
gft		Gafat		iso639-3
gga		Gao		iso639-3
ggb		Gbii		iso639-3
ggd		Gugadj		iso639-3
gge		Guragone		iso639-3
ggg		Gurgula		iso639-3
ggk		Kungarakany		iso639-3
ggl		Ganglau		iso639-3
ggt		Gitua		iso639-3
ggu		Gagu		iso639-3
ggw		Gogodala		iso639-3
gha		Ghadamès		iso639-3
ghc		Hiberno-Scottish Gaelic		iso639-3
ghe		Southern Ghale		iso639-3
ghh		Northern Ghale		iso639-3
ghk		Geko Karen		iso639-3
ghl		Ghulfan		iso639-3
ghn		Ghanongga		iso639-3
gho		Ghomara		iso639-3
ghr		Ghera		iso639-3
ghs		Guhu-Samane		iso639-3
ght		Kuke		iso639-3
gia		Kitja		iso639-3
gib		Gibanawa		iso639-3
gic		Gail		iso639-3
gid		Gidar		iso639-3
gie		Gaɓogbo		iso639-3
gig		Goaria		iso639-3
gih		Githabul		iso639-3
gil		Gilbertese	I-Kiribati	cldr, ethnologue
gim		Gimi (Eastern Highlands)		iso639-3
gin		Hinukh		iso639-3
gip		Gimi (West New Britain)		iso639-3
giq		Green Gelao		iso639-3
gir		Red Gelao		iso639-3
gis		North Giziga		iso639-3
git		Gitxsan	Gitsenimx	iso639-3, ethnologue
giu		Mulao		iso639-3
giw		White Gelao		iso639-3
gix		Gilima		iso639-3
giy		Giyug		iso639-3
giz		South Giziga		iso639-3
gji		Geji		iso639-3
gjk		Kachi Koli		iso639-3
gjm		Gunditjmara		iso639-3
gjn		Gonja	Ngbanyito	iso639-3, ethnologue
gjr		Gurindji Kriol		iso639-3
gju		Gujari		iso639-3
gka		Guya		iso639-3
gke		Ndai		iso639-3
gkn		Gokana		iso639-3
gko		Kok-Nar		iso639-3
gkp		Guinea Kpelle		iso639-3
gku		ǂUngkue		iso639-3
glc		Bon Gula	Êeni	iso639-3, ethnologue
gld		Nanai		iso639-3
glh		Northwest Pashai		iso639-3
gli		Guliguli		iso639-3
glj		Gula Iro		iso639-3
glk		Gilaki		cldr
gll		Garlali		iso639-3
glo		Galambu		iso639-3
glr		Glaro-Twabo		iso639-3
glu		Gula (Chad)		iso639-3
glw		Glavda		iso639-3
gly		Gule		iso639-3
gma		Gambera		iso639-3
gmb		Gula'alaa		iso639-3
gmd		Mághdì		iso639-3
gmg		Magɨyi		iso639-3
gmh		Middle High German		cldr
gml		Middle Low German		iso639-3
gmm		Gbaya-Mbodomo		iso639-3
gmn		Gimnime		iso639-3
gmu		Gumalu		iso639-3
gmv		Gamo	Gamotso	iso639-3, ethnologue
gmx		Magoma		iso639-3
gmy		Mycenaean Greek		iso639-3
gmz		Mgbolizhia	Mgbolizhia	iso639-3, ethnologue
gna		Kaansa		iso639-3
gnb		Gangte		iso639-3
gnc		Guanche		iso639-3
gnd		Zulgo-Gemzek		iso639-3
gne		Ganang		iso639-3
gng		Ngangam		iso639-3
gnh		Lere		iso639-3
gni		Gooniyandi		iso639-3
gnk		//Gana		iso639-3
gnl		Gangulu		iso639-3
gnm		Ginuman		iso639-3
gnn		Gumatj		iso639-3
gno		Northern Gondi		iso639-3
gnq		Gana		iso639-3
gnr		Gureng Gureng		iso639-3
gnt		Guntai		iso639-3
gnu		Gnau		iso639-3
gnw		Western Bolivian Guaraní		iso639-3
gnz		Ganzi		iso639-3
goa		Guro	Golo	iso639-3, ethnologue
gob		Playero		iso639-3
goc		Gorakor		iso639-3
god		Godié		iso639-3
goe		Gongduk		iso639-3
gof		Gofa		iso639-3
gog		Gogo		iso639-3
goh		Old High German		cldr
goi		Gobasi		iso639-3
goj		Gowlan		iso639-3
gok		Gowli		iso639-3
gol		Gola		iso639-3
gom		Goan Konkani		cldr
gon		Gondi		cldr
goo		Gone Dau		iso639-3
gop		Yeretuar		iso639-3
goq		Gorap		iso639-3
gor		Gorontalo		cldr
gos		Gronings		iso639-3
got		Gothic		cldr
gou		Gavar		iso639-3
gow		Gorowa		iso639-3
gox		Gobu		iso639-3
goy		Goundo		iso639-3
goz		Gozarkhani		iso639-3
gpa		Gupa-Abawa		iso639-3
gpe		Ghanaian Pidgin English		iso639-3
gpn		Taiap		iso639-3
gqa		Ga'anda		iso639-3
gqi		Guiqiong		iso639-3
gqn		Guana (Brazil)		iso639-3
gqr		Gor		iso639-3
gqu		Qau		iso639-3
gra		Rajput Garasia		iso639-3
grb		Grebo		cldr
grc		Ancient Greek		cldr
grd		Guruntum-Mbaaru		iso639-3
grg		Madi		iso639-3
grh		Gbiri-Niragu		iso639-3
gri		Ghari		iso639-3
grj		Southern Grebo		iso639-3
grm		Kota Marudu Talantang		iso639-3
gro		Groma		iso639-3
grq		Gorovu		iso639-3
grr		Taznatit		iso639-3
grs		Gresi		iso639-3
grt		Garo	Mande	iso639-3, ethnologue
gru		Kistane		iso639-3
grv		Central Grebo		iso639-3
grw		Gweda		iso639-3
grx		Guriaso		iso639-3
gry		Barclayville Grebo		iso639-3
grz		Guramalum		iso639-3
gse		Ghanaian Sign Language		iso639-3
gsg		German Sign Language		iso639-3
gsl		Gusilay		iso639-3
gsm		Guatemalan Sign Language		iso639-3
gsn		Nema		iso639-3
gso		Southwest Gbaya		iso639-3
gsp		Wasembo		iso639-3
gss		Greek Sign Language		iso639-3
gsw		Swiss German	Schwiizertüütsch	cldr
gta		Guató		iso639-3
gtu		Aghu-Tharnggala		iso639-3
gua		Shiki		iso639-3
gub		Guajajára		iso639-3
guc		Wayuu		cldr
gud		Yocoboué Dida		iso639-3
gue		Gurinji		iso639-3
